fuel,coolant,year,watt
19994.26,3.67,10.00,7356.98
28293.54,3.71,6.00,17674.36
3423.12,3.15,2.00,6326.96
30128.30,4.62,3.00,40048.35
18455.97,3.97,10.00,7240.55
30917.95,4.73,3.00,43881.18
20138.03,3.36,1.00,67715.13
17309.14,4.74,2.00,29704.60
11752.34,3.53,3.00,15311.41
11777.22,4.68,11.00,4978.25
22282.46,3.59,7.00,14077.55
34454.94,3.52,7.00,22314.91
9278.42,4.33,1.00,32486.29
4430.33,3.91,10.00,2073.78
1892.19,4.67,4.00,2044.80
26620.33,4.28,5.00,22778.10
212.26,4.58,6.00,159.43
24.77,4.50,5.00,24.01
7532.38,3.28,11.00,3179.33
6981.38,3.98,8.00,4151.93
239.65,3.66,6.00,188.14
15953.33,4.40,10.00,7720.43
3845.41,4.27,1.00,16261.76
13933.66,4.26,1.00,53912.90
199.66,4.82,6.00,159.68
8584.59,4.64,5.00,8521.27
2102.65,4.88,5.00,2037.73
26332.56,4.98,4.00,32425.94
29165.72,4.27,9.00,16087.28
16462.57,3.72,4.00,22015.31
36497.73,4.41,3.00,59150.23
976.88,5.08,4.00,1253.15
7268.01,3.25,2.00,17943.81
26205.71,3.51,1.00,107561.84
28036.23,3.07,5.00,28048.27
4753.48,4.90,8.00,3172.38
33020.38,4.64,6.00,27610.97
9931.37,3.33,4.00,12791.91
7116.35,4.67,6.00,6246.45
15814.04,3.58,2.00,39335.73
13958.37,4.63,11.00,7011.01
25034.50,3.74,10.00,13294.78
3861.44,4.64,10.00,1998.11
19057.70,4.61,8.00,12058.34
16694.98,3.38,8.00,10690.40
19802.02,3.17,9.00,11131.63
21950.14,4.51,8.00,15282.72
5003.42,4.25,10.00,2587.66
15765.13,4.57,10.00,8191.69
4043.99,3.22,10.00,2060.82
22280.71,3.28,8.00,13823.67
27933.72,4.45,7.00,19048.96
4050.19,4.60,9.00,2206.29
32324.82,4.28,2.00,67956.32
14977.10,3.47,8.00,9288.54
2716.43,4.61,1.00,10941.57
20048.31,3.29,2.00,43107.74
5457.97,4.72,10.00,2826.18
30907.51,3.70,7.00,20073.21
5651.15,3.57,2.00,11145.99
5316.12,3.09,10.00,2420.93
32000.69,4.82,6.00,23367.64
3866.33,3.94,3.00,5420.73
19092.96,4.68,11.00,7917.55
36157.15,3.69,6.00,27002.23
13589.50,4.71,10.00,5979.35
20483.38,4.17,4.00,20509.11
11800.94,4.73,2.00,23339.94
37373.63,3.52,4.00,42186.34
17063.65,3.90,2.00,35780.96
13110.78,4.08,4.00,12628.36
27804.86,4.23,4.00,28088.11
407.51,4.35,4.00,418.46
4370.74,3.83,11.00,1543.18
28111.81,4.58,5.00,22554.74
2312.40,3.01,7.00,1360.39
25336.01,3.83,8.00,12681.70
9596.14,3.49,10.00,3859.49
16462.02,4.94,9.00,6896.38
4357.35,3.43,4.00,4259.82
19588.74,3.96,3.00,21445.67
10630.35,4.30,9.00,4043.90
15504.75,4.56,2.00,29252.65
28115.52,3.66,11.00,9718.10
13251.01,3.91,5.00,9707.18
25493.28,4.55,3.00,26974.41
5410.21,4.25,5.00,4061.15
21873.41,4.64,1.00,65222.29
24820.49,3.32,1.00,77570.01
5671.88,4.72,9.00,2370.76
30540.71,3.27,10.00,12038.65
20283.34,3.33,5.00,14113.08
30069.48,4.55,8.00,15064.58
4055.46,3.74,2.00,6531.97
8419.50,3.75,10.00,2808.57
18809.00,4.59,8.00,8677.38
5477.68,4.21,10.00,2307.94
18346.47,3.92,8.00,7596.37
23899.23,4.43,7.00,13355.19
11706.08,4.57,10.00,4700.66
9473.94,4.27,5.00,7633.44
30893.23,4.37,8.00,14196.70
15814.85,3.36,7.00,10246.60
35747.43,4.64,5.00,28375.90
10873.70,4.46,8.00,5592.79
29514.19,3.52,2.00,58699.11
793.82,2.91,8.00,421.84
19666.59,4.19,5.00,16168.84
20763.74,4.93,4.00,22812.41
20543.38,3.56,5.00,16808.66
1219.35,3.81,4.00,1352.75
7407.92,5.03,9.00,3614.93
2735.51,3.71,4.00,2932.48
15603.75,3.17,8.00,9148.99
3116.89,4.84,8.00,1861.70
190.99,3.13,4.00,208.38
30715.89,3.09,3.00,43628.54
7213.44,4.55,9.00,3853.13
18071.63,3.67,5.00,17508.49
2246.86,4.41,3.00,3496.43
10262.09,3.96,3.00,16762.37
9238.06,3.78,8.00,5614.63
34220.95,3.63,8.00,21497.60
22588.60,4.68,10.00,11659.37
656.96,4.20,7.00,453.43
6902.30,4.29,10.00,3623.90
22510.34,3.95,5.00,23490.69
19460.85,4.06,10.00,10249.14
8640.55,5.00,10.00,4467.50
15663.07,3.43,11.00,7566.06
21509.26,3.32,4.00,26479.23
21627.48,3.63,4.00,27110.43
16804.41,4.17,3.00,28008.00
4323.79,5.19,4.00,5433.18
8358.01,4.71,11.00,3960.77
19264.81,3.52,7.00,13921.00
23006.88,2.77,3.00,37298.31
18943.50,3.60,4.00,24172.22
19664.04,3.27,6.00,17562.93
5347.85,3.80,10.00,2788.77
10973.67,3.71,5.00,11048.78
14433.50,4.80,6.00,11931.95
4146.01,4.85,11.00,2052.04
32653.34,4.33,3.00,53178.50
9149.79,4.59,5.00,9263.48
6571.97,4.50,9.00,3436.61
3150.89,3.27,6.00,2707.23
823.36,4.31,4.00,1030.59
349.28,3.26,3.00,589.08
32348.10,4.40,5.00,31894.73
8853.81,4.47,5.00,9022.93
8236.24,4.63,6.00,6726.06
22587.96,4.12,9.00,12293.65
409.59,4.62,1.00,1716.58
23804.46,4.59,2.00,57610.83
5407.97,3.05,2.00,11980.77
25812.92,3.81,3.00,39167.40
15914.79,3.11,8.00,9471.47
25240.45,3.31,7.00,16456.01
27768.72,3.74,3.00,40331.78
20107.17,4.16,4.00,21252.96
22636.80,4.61,2.00,47702.03
13717.19,4.87,6.00,9848.59
8155.41,3.28,1.00,31208.04
20927.93,4.06,6.00,15673.26
21715.81,4.03,3.00,33340.54
21986.69,4.72,9.00,9912.30
39825.29,4.71,5.00,32023.63
5292.51,4.89,10.00,2239.36
14626.95,4.07,10.00,6337.39
11988.44,5.04,10.00,4957.35
8701.43,4.58,2.00,16678.79
37756.15,4.87,2.00,73111.22
9545.61,3.62,7.00,5190.52
9271.64,4.83,9.00,3927.52
4001.04,3.73,4.00,3918.50
2153.05,4.10,1.00,7719.29
13595.04,3.35,7.00,6470.03
3870.67,4.30,6.00,2433.59
37601.94,3.71,9.00,14784.30
12835.98,3.96,5.00,9071.94
26797.55,4.82,11.00,9538.40
4309.79,4.46,5.00,3494.99
19169.15,4.51,3.00,23268.53
19824.72,4.28,1.00,66705.13
9974.72,3.64,5.00,7064.14
9235.94,3.42,11.00,3169.93
5186.37,3.64,8.00,2399.09
8631.14,4.10,4.00,8099.03
10395.09,3.97,5.00,7637.32
36582.16,3.99,5.00,27288.48
30713.23,4.17,3.00,36740.33
26189.74,3.85,10.00,10399.41
25555.38,3.95,4.00,25652.01
15000.75,2.98,9.00,6387.87
13005.77,4.22,9.00,5191.31
18957.93,3.61,5.00,14817.29
33374.12,3.80,3.00,38312.63
14070.80,3.98,3.00,18863.34
35038.25,3.61,8.00,17988.43
11652.39,4.80,9.00,5050.27
8821.98,3.20,7.00,5221.63
20324.31,3.09,6.00,14853.06
21676.88,3.86,7.00,13610.74
5783.45,3.45,11.00,2130.83
5815.96,3.19,2.00,10894.51
7492.03,4.66,5.00,6300.60
14242.99,4.49,6.00,9915.42
16666.91,4.13,6.00,12252.81
34032.78,3.77,1.00,136697.62
17066.80,3.63,5.00,15179.82
5376.38,3.58,9.00,2872.26
23085.75,3.63,7.00,15226.85
26586.74,2.96,10.00,12038.65
24023.49,3.39,8.00,14071.97
21805.37,4.38,4.00,25868.18
9883.58,4.32,4.00,12195.75
22406.00,3.16,6.00,19290.14
19203.57,3.34,7.00,12802.30
20966.92,4.06,3.00,32531.44
8223.15,4.49,6.00,6809.56
